pref,category,name,url,movie,image,description
北海道,実装部門（上記を除く市）,書かないワンストップ窓口,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/01-2.pdf,,,
北海道,実装部門（町・村）,レポサク - 農業DX / 車両と圃場の管理システム,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/01-3.pdf,,,
北海道,アイデア部門,神恵内からはばたく・神恵内に戻るデジタル活用小中一貫キャリア教育　～神恵内U15（神恵内の子供たち）の未来を拓く教育の実現～,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/01-4.pdf,,,
青森県,実装部門（指定都市・中核市・施行時特例市等）,除排雪状況の公開,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/02-1.pdf,,,
青森県,実装部門（町・村）,愛と誇りに満ちた住民の安心・安全を守る「ＡＩ（愛）サイ（佐井）ボード」ネットワーク構築事業,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/02-3.pdf,,,
青森県,アイデア部門,ヘルステックを核とした健康まちづくりプロジェクト,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/02-4.pdf,https://nettv.gov-online.go.jp/prg/prg24709.html,https://dwl.gov-online.go.jp/video/cao/dl/img/J00024709.JPG,青森市は、「ヘルステックを核とした健康まちづくりプロジェクト」として、「モビリティを活用した予防サービス」と「IoTを活用したみまもりサービス」に取り組み、生活習慣病予防や特定健診受診率の向上など健康寿命延伸のため挑戦し続けています。
岩手県,実装部門（上記を除く市）,八幡平市メディテックバレープロジェクト（遠隔診療・見守りDX基盤の構築による持続可能な地域づくり）,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/03-2.pdf,,,
宮城県,実装部門（指定都市・中核市・施行時特例市等）,宮城地区西部の課題解決に向けたデジタル技術の活用,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/04-1.pdf,,,
宮城県,実装部門（上記を除く市）,コミュニティを核とした持続可能な地域社会の構築,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/04-2.pdf,,,
宮城県,実装部門（町・村）,電子母子手帳アプリとオンライン医療相談の連携活用による子育て世代への支援,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/04-3.pdf,,,
宮城県,アイデア部門,BOSAI-TECHイノベーション創出促進事業,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/04-4.pdf,,,
秋田県,実装部門（指定都市・中核市・施行時特例市等）,浸水センサー等を活用した安全・安心のまちづくり,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/05-1.pdf,,,
秋田県,実装部門（上記を除く市）,横手市増田まんが美術館によるマンガ原画アーカイブ事業,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/05-2.pdf,,,
秋田県,アイデア部門,体験型観光コンテンツ造成による新たな価値の創出,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/05-4.pdf,,,
山形県,実装部門（指定都市・中核市・施行時特例市等）,『やまがたＡＩ部』（産学官連携による高校生のためのＡＩ教育）,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/06-1.pdf,,,
山形県,実装部門（上記を除く市）,飛島スマートアイランドプロジェクト,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/06-2.pdf,,,
山形県,アイデア部門,バイオサイエンスのまちのスマートトイレ(自動尿検査等)による健康管理,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/06-4.pdf,,,
福島県,実装部門（指定都市・中核市・施行時特例市等）,デジタル技術をフル活用した迅速な要介護認定事務,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/07-1.pdf,,,
福島県,実装部門（上記を除く市）,住民基本台帳と地理情報システムの連携による住民の位置情報の見える化と防災分野等の市施策への活用,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/07-2.pdf,,,
福島県,実装部門（町・村）,デジタル教室等によるデジタルデバイド対策,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/07-3.pdf,,,
福島県,アイデア部門,スマートモビリティ×データドリブンを核としたスマートシティ推進事業,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/07-4.pdf,,,
茨城県,実装部門（指定都市・中核市・施行時特例市等）,オンラインを活用し地域の科学教育リソースと子供たちを繋ぎ学びの場を提供する「つくばSTEAMコンパス」,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/08-1.pdf,,,
茨城県,実装部門（上記を除く市）,スマホアプリを活用したＡＩによる呼出型乗合バス実証運行,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/08-2.pdf,,,
茨城県,実装部門（町・村）,自動運転バスを活用したサステナブルなまちづくり,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/08-3.pdf,,,
茨城県,アイデア部門,デジタル化による安全・安心で持続可能なまちづくり,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/08-4.pdf,,,
栃木県,実装部門（指定都市・中核市・施行時特例市等）,「来訪者の状況に応じたレコメンドサービス」によるまちの賑わい創出,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/09-1.pdf,https://nettv.gov-online.go.jp/prg/prg24676.html,https://dwl.gov-online.go.jp/video/cao/dl/img/J00024676.png,コミュニケーションアプリ「ＬＩＮＥ」上に「コレメッケ宇都宮」を構築し，会話型の観光案内（チャットbot）やプッシュ通知からのコンテンツ配信，混雑時の整理券発行などの機能により，来訪者の街あるきのホスピタリティ向上や回遊促進を図る取組です。
栃木県,実装部門（上記を除く市）,全国初！ LINEを活用したモバイル定期券・回数券によるキャッシュレス化でコミュニティバス「おーバス」の利便性向上,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/09-2.pdf,https://nettv.gov-online.go.jp/prg/prg24657.html,https://dwl.gov-online.go.jp/video/cao/dl/img/J00024657.png,LINEを基盤にしたモバイル乗車券。紙製の格安市内バス全線定期券と回数券をスマホアプリ化。運転手にスマホのLINE画面を提示するだけのシンプル設計で、老若男女誰もが使いやすく、交通系ICカードと比較して、導入・維持費用の大幅コストダウン。
栃木県,アイデア部門,都市ＯＳを活用して市民とつくるデジタルハザードマップ,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/09-4.pdf,,,
群馬県,実装部門（指定都市・中核市・施行時特例市等）,マイナンバーカードを活用したタクシーによる高齢者等の移動支援,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/10-1.pdf,,,
群馬県,実装部門（上記を除く市）,デジタルを活用した会話のコミュニケーション支援,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/10-2.pdf,,,
群馬県,実装部門（町・村）,観光・関係人口増加のための嬬恋スマートシティ,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/10-3.pdf,https://nettv.gov-online.go.jp/prg/prg24705.html,https://dwl.gov-online.go.jp/video/cao/dl/img/J00024705.png,群馬県嬬恋村役場 未来創造課 デジタル推進室長 山口倫照です。ここ数年でさらに耳にするスマートシティ…DX…。ひとつのスマートシティの形がここにあります。国民・事業者の皆様、自治体それぞれへのメリットをご説明します。ぜひご覧になって下さい。
群馬県,アイデア部門,めぶくEYE：視覚障がい者歩行サポートシステム,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/10-4.pdf,https://nettv.gov-online.go.jp/prg/prg24704.html,https://dwl.gov-online.go.jp/video/cao/dl/img/J00024704.png,視覚障がい者のためにスマホカメラとAI技術が捉えた景色を音声でナビゲートするデジタル歩行サービス「めぶくEYE」。まえばしIDによる共助型未来プラットフォームを通じこれまでの困難な移動を楽しみの散歩に変える。景色が聴こえるDXを実現します。
埼玉県,実装部門（指定都市・中核市・施行時特例市等）,BIツールを活用したワクチン接種状況の可視化による情報発信の強化,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/11-1.pdf,,,
埼玉県,実装部門（上記を除く市）,地域通貨ネギーによるデジタル基盤の構築と新たな自治体経営について,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/11-2.pdf,,,
埼玉県,実装部門（町・村）,オートコールソリューション等を活用した災害発生時の避難誘導,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/11-3.pdf,,,
埼玉県,アイデア部門,秩父地域スマートモビリティによるエコタウン創造事業,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/11-4.pdf,https://nettv.gov-online.go.jp/prg/prg24714.html,https://dwl.gov-online.go.jp/video/cao/dl/img/J00024714.png,"『大雪でモノが届かない！』『電車で観光に来たけど、あの場所までどう行けばいいの!?』都心から近い観光地の秩父、豊かな自然と観光資源の反面、山間地域特有の課題も･･･。
デジタルを活用し、地域課題の解決に挑む秩父市と横瀬町の構想を紹介します！"
千葉県,実装部門（指定都市・中核市・施行時特例市等）,市が保有する住民情報を活用した、市民一人ひとりに合わせたプッシュ型通知サービス「あなたが使える制度お知らせサービス ～For You～」,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/12-1.pdf,,,
千葉県,実装部門（上記を除く市）,利用者と地域と行政をつなぐデジタルコミュニケーションの実現,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/12-2.pdf,,,
千葉県,実装部門（町・村）,地域医療のデジタル化に係る包括協定の締結,https://www.cas.go.jp/jp/seisaku/digital_denen/chiiki/pdf/12-3.pdf,,,
